MO_ID_use,MOAge,Z_MOAge,HholdIncome,IncomeLog,MU_InvestAny,Hhold_AnnMove,Z_AnnMove,MatRes,PatRes,OthRes,Boat_dum,MOSells_Occup,MOEdu_dum,MONum_Marriages,FatherPresent,MO_LostChild_dum,MO_NumCldLiv,Z_MO_NumCldLiv,MO_AgeFirstBirth,Z_MO_AgeFirstBirth,IBI_AfterFirst,Z_IBI_AfterFirst,MO_Firstborn_dum,MO_NumSibs,Z_MO_NumSibs,MO_NumSisters,Z_MO_NumSisters,MO_NumBro_Total,Z_MO_NumBro_Total,MO_Num_OlderBro,Z_MO_Num_OlderBro,MO_Num_YoungBro,Z_MO_Num_YoungBro,Num_Alloparents,Z_Num_Alloparents,MU_BirthOrder,AgeDiff_MOMU,MU_Direct,MU_Indirect_dum,MU_GiveFood_dum,MU_GiveClothes_dum,MU_GiveTreat_dum,MU_PayMg_dum,MU_Firstborn_dum,MU_Lastborn_dum,MU_Midborn_dum,MUMO_SameLocation_dum,MU_Boat,MU_Married,MU_HasChild_dum,MU_Older_dum
41,68,1.851577764,0,0,0,0,-0.680336351,0,0,1,0,0,0,1,1,1,6,0.877361024,18,0.234538008,4.75,0.048611098,0,8,0.435548592,5,0.716890841,3,-0.009112654,1,-0.238589412,2,0.166342064,2,0.260401211,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
42,30,-0.862527775,48000,10.77895629,0,0,-0.680336351,0,0,1,0,1,0,1,1,0,5,0.389077062,18,0.234538008,4,-0.092671512,0,7,0.079086455,4,0.137792006,3,-0.009112654,0,-0.988793234,3,0.763216527,1,-0.245281141,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
43,43,0.065982014,168000,12.03171926,0,0,-0.680336351,1,0,0,0,1,0,1,1,0,7,1.365644986,18,0.234538008,2,-0.46942514,0,10,1.148472866,6,1.295989676,4,0.557694443,0,-0.988793234,4,1.360090991,2,0.260401211,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
44,18,-1.719613735,144000,11.87756858,0,0,-0.680336351,0,0,1,0,0,1,1,1,0,1,-1.564058787,18,0.234538008,1.5,-0.563613547,0,5,-0.633837819,4,0.137792006,1,-1.142726849,1,-0.238589412,0,-1.027406864,1,-0.245281141,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
45,23,-1.362494585,45000,10.71441777,0,2,1.000494634,0,1,0,1,0,0,1,1,0,1,-1.564058787,18,0.234538008,5,0.095705302,0,8,0.435548592,4,0.137792006,4,0.557694443,2,0.511614409,2,0.166342064,0,-0.750963494,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
46,25,-1.219646925,190000,12.15477935,1,2,1.000494634,1,0,0,1,0,1,1,1,0,1,-1.564058787,18.5,0.37494159,6.5,0.378270523,0,6,-0.277375682,3,-0.441306829,3,-0.009112654,1,-0.238589412,2,0.166342064,0,-0.750963494,3,4,1,0,0,0,0,0,0,0,1,0,0,0,0,1
47,32,-0.719680115,322400,12.68354829,0,0,-0.680336351,0,0,1,0,1,0,1,1,0,2,-1.075774825,19,0.515345172,10,1.037589373,0,4,-0.990299957,3,-0.441306829,1,-1.142726849,0,-0.988793234,1,-0.4305324,1,-0.245281141,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
48,27,-1.076799265,109200,11.60093634,0,2,1.000494634,1,0,0,1,1,0,1,1,1,2,-1.075774825,19,0.515345172,0.666666667,-0.720594226,0,7,0.079086455,4,0.137792006,3,-0.009112654,2,0.511614409,1,-0.4305324,1,-0.245281141,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
49,36,-0.433984796,244400,12.40656151,0,0,-0.680336351,1,0,0,1,1,0,2,1,1,4,-0.0992069,19,0.515345172,3,-0.281048326,0,7,0.079086455,4,0.137792006,3,-0.009112654,2,0.511614409,1,-0.4305324,2,0.260401211,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
50,20,-1.576766075,34667,10.4535435,0,3,1.840910127,0,1,0,1,0,1,1,1,0,1,-1.564058787,19.333,0.608853957,0.667,-0.720531433,0,4,-0.990299957,3,-0.441306829,1,-1.142726849,1,-0.238589412,0,-1.027406864,0,-0.750963494,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
